frame,value
0,58.274078
1,54.620983
2,52.450996
3,53.812786
4,53.051903
5,52.450764
6,52.625481
7,53.451321
8,54.757050
9,52.618019
10,53.068821
11,53.557304
12,52.628300
13,52.556362
14,52.495331
15,54.795830
16,53.597401
17,52.365391
18,53.854511
19,53.077782
20,52.432453
21,52.654106
22,53.467346
23,54.765060
24,58.343414
25,54.659538
26,52.417137
27,53.835701
28,53.116272
29,52.407459
30,52.640079
31,53.399651
32,54.752853
33,52.644379
34,53.074795
35,53.643593
36,52.726440
37,52.550823
38,52.494263
39,54.814236
40,53.599850
41,52.426952
42,53.873726
43,53.082539
44,52.526699
45,52.683292
46,53.426956
47,54.666191
48,58.316547
49,54.729733
average,53.605650
