frame,value
0,49.945751
1,49.393902
2,48.056965
3,47.319206
4,48.565434
5,47.672028
6,47.013680
7,48.551323
8,47.980618
9,46.872292
10,48.445515
11,47.662254
12,46.878448
13,48.348488
14,47.505104
15,47.318054
16,48.350273
17,47.517891
18,46.977005
19,48.307747
20,47.413689
21,46.937233
22,48.424240
23,47.691326
24,50.080616
25,49.863361
26,48.451508
27,48.017712
28,48.925434
29,48.037125
30,47.416378
31,48.794903
32,48.165173
33,47.252747
34,48.639721
35,47.857048
36,47.098175
37,48.483799
38,47.689125
39,47.512569
40,48.552231
41,47.641178
42,47.300522
43,48.420010
44,47.678059
45,47.161983
46,48.554100
47,47.916218
48,50.113998
49,49.843506
average,48.092313
