frame,value
0,53.399940
1,53.334866
2,53.301403
3,49.126411
4,48.787155
5,48.491497
6,48.181206
7,49.458672
8,50.302063
9,48.093769
10,48.963154
11,49.057266
12,48.126541
13,48.293591
14,48.317364
15,50.336189
16,48.982746
17,48.256981
18,49.159966
19,48.685837
20,48.227173
21,48.188076
22,49.295589
23,50.205330
24,53.345116
25,50.141972
26,48.686928
27,49.300369
28,48.841171
29,48.436966
30,48.208576
31,49.521187
32,50.416214
33,48.183540
34,49.089695
35,49.253307
36,48.225971
37,48.488331
38,48.385185
39,50.296329
40,49.037552
41,48.309742
42,49.196728
43,48.631512
44,48.261284
45,48.223305
46,49.294109
47,50.230019
48,53.382271
49,50.110226
average,49.401408
