frame,value
0,32.875679
1,32.731930
2,33.128380
3,30.973835
4,32.188053
5,32.699951
6,30.612499
7,32.364452
8,33.001389
9,30.675093
10,32.017174
11,32.745171
12,30.254942
13,31.551197
14,32.514946
15,30.798298
16,31.697958
17,32.734318
18,30.414045
19,31.466883
20,32.623352
21,30.374409
22,31.666355
23,33.047768
24,33.195843
25,32.869350
26,33.775623
27,31.188120
28,31.898689
29,33.114613
30,30.690659
31,32.007107
32,33.173580
33,30.570354
34,31.654945
35,32.883541
36,30.271355
37,31.483124
38,32.562580
39,30.781906
40,31.746809
41,32.714825
42,30.289320
43,31.453758
44,32.218975
45,30.050272
46,31.942436
47,32.717041
48,32.915421
49,32.868378
average,31.923934
