frame,value
0,32.068295
1,35.338722
2,33.363655
3,31.662439
4,35.195988
5,33.002884
6,31.502434
7,35.104904
8,32.951862
9,31.430746
10,35.230919
11,32.830227
12,31.340229
13,35.173805
14,32.631134
15,31.251776
16,35.056190
17,32.627560
18,31.228251
19,35.020916
20,32.550991
21,31.192741
22,34.980576
23,32.565643
24,31.938326
25,35.306095
26,33.313931
27,31.811335
28,35.222088
29,33.131725
30,31.655130
31,35.025265
32,33.039024
33,31.499054
34,34.891136
35,33.029411
36,31.356422
37,34.869564
38,32.932537
39,31.269766
40,34.922726
41,32.887569
42,31.416655
43,34.909039
44,32.792164
45,31.284410
46,34.700760
47,32.733036
48,32.120132
49,35.331135
average,33.173826
