frame,value
0,44.606369
1,44.956600
2,45.011124
3,40.660706
4,40.806633
5,40.848949
6,39.676376
7,41.562061
8,41.961037
9,39.799458
10,40.963974
11,41.012234
12,39.310829
13,40.302731
14,40.500854
15,40.954163
16,40.736732
17,40.428391
18,39.996613
19,40.369553
20,40.132774
21,39.375721
22,41.271702
23,41.576244
24,44.633522
25,42.419518
26,41.515667
27,40.613060
28,41.025215
29,40.682663
30,39.868771
31,41.872536
32,42.167015
33,40.087776
34,41.337856
35,41.186932
36,39.465942
37,40.583832
38,40.504692
39,40.956062
40,40.837494
41,40.510925
42,39.957932
43,40.350235
44,40.172607
45,39.315548
46,41.229721
47,41.516438
48,44.584419
49,42.320042
average,41.130765
