frame,value
0,25.118855
1,27.398268
2,27.500673
3,24.369087
4,26.555010
5,26.616163
6,24.080029
7,26.622187
8,26.684460
9,23.907751
10,26.291759
11,26.351967
12,23.635305
13,26.206448
14,26.066393
15,23.856159
16,26.311657
17,26.189022
18,23.790257
19,26.226057
20,26.319000
21,23.735168
22,26.544468
23,26.382713
24,25.347651
25,27.462227
26,26.932295
27,24.823095
28,27.641018
29,26.805695
30,24.717602
31,27.774134
32,26.991570
33,24.741987
34,27.396673
35,26.913105
36,24.286379
37,26.681360
38,26.583858
39,24.209396
40,26.489653
41,26.619980
42,24.026426
43,26.300640
44,26.555527
45,23.882683
46,26.604792
47,26.564243
48,25.220728
49,26.972576
average,25.906083
