frame,value
0,39.900227
1,40.574200
2,40.687405
3,36.924603
4,37.526237
5,37.458553
6,35.948471
7,37.891968
8,38.166721
9,35.954269
10,37.328377
11,37.413940
12,35.592327
13,36.794628
14,36.957993
15,36.779045
16,37.127567
17,36.956665
18,36.032055
19,36.818657
20,36.791145
21,35.637066
22,37.577183
23,37.727512
24,40.033482
25,38.735912
26,38.212688
27,37.085670
28,38.029594
29,37.585693
30,36.492157
31,38.436954
32,38.518448
33,36.590553
34,37.927235
35,37.836437
36,36.063671
37,37.235470
38,37.253967
39,36.786625
40,37.118961
41,37.145081
42,35.955856
43,36.782196
44,36.846268
45,35.552052
46,37.466545
47,37.642712
48,39.878639
49,38.580170
average,37.447197
