frame,value
0,53.296829
1,50.160812
2,48.556068
3,49.281731
4,48.799213
5,48.516430
6,48.408401
7,49.407185
8,50.642281
9,48.390354
10,48.769936
11,49.308689
12,48.376106
13,48.400616
14,48.493294
15,50.500439
16,49.349155
17,48.514103
18,49.344669
19,48.756905
20,48.485737
21,48.420612
22,49.397217
23,50.640652
24,53.322773
25,50.167622
26,48.555252
27,49.353649
28,48.845734
29,48.539452
30,48.356865
31,49.386112
32,50.599907
33,48.434166
34,48.814816
35,49.377583
36,48.444347
37,48.403397
38,48.462761
39,50.512466
40,49.334785
41,48.416153
42,49.344208
43,48.750729
44,48.455208
45,48.495232
46,49.303104
47,50.471115
48,53.340927
49,50.199371
average,49.358103
