frame,value
0,35.439228
1,36.557697
2,36.573101
3,33.243244
4,34.218533
5,34.289299
6,32.390461
7,34.675285
8,34.873520
9,32.457333
10,34.217094
11,34.250244
12,32.102562
13,33.688747
14,33.864494
15,33.012806
16,33.840046
17,33.911480
18,32.576580
19,33.741508
20,33.820129
21,32.168690
22,34.490330
23,34.441204
24,35.654003
25,35.302132
26,35.032425
27,33.694771
28,35.236004
29,34.599457
30,33.285007
31,35.375240
32,35.200581
33,33.242920
34,35.021309
35,34.724495
36,32.795261
37,34.213512
38,34.286804
39,33.159798
40,33.923103
41,34.128983
42,32.539101
43,33.731392
44,33.863888
45,32.223297
46,34.363613
47,34.474171
48,35.572132
49,35.110123
average,34.111943
