frame,value
0,44.974251
1,41.994389
2,41.343193
3,40.930817
4,40.969490
5,41.129559
6,40.229050
7,41.659340
8,42.787144
9,40.296257
10,40.934841
11,41.681000
12,40.133995
13,40.508976
14,41.161301
15,41.850559
16,40.977158
17,41.195522
18,40.734253
19,40.642426
20,41.133118
21,40.161285
22,41.410000
23,42.807808
24,45.131546
25,41.963257
26,41.636524
27,41.023811
28,40.923904
29,41.383980
30,40.268089
31,41.566792
32,42.887257
33,40.202492
34,40.983849
35,41.810101
36,39.961491
37,40.394363
38,41.111099
39,41.707127
40,40.878410
41,41.072598
42,40.599739
43,40.549587
44,40.916405
45,39.882111
46,41.368328
47,42.514244
48,44.992268
49,41.949726
average,41.386497
