frame,value
0,58.434818
1,54.469719
2,52.243599
3,53.105183
4,52.568069
5,52.214317
6,52.352840
7,53.010632
8,54.063900
9,52.426365
10,52.552025
11,52.932529
12,52.299126
13,52.210308
14,52.153591
15,54.074486
16,53.050552
17,52.148323
18,53.087986
19,52.523109
20,52.087101
21,52.369083
22,52.866146
23,53.875034
24,58.390263
25,55.052315
26,52.558170
27,53.284981
28,52.744904
29,52.307083
30,52.442654
31,52.990341
32,53.873566
33,52.470093
34,52.536404
35,52.989010
36,52.338490
37,52.249546
38,52.181252
39,54.015404
40,53.060558
41,52.135071
42,53.078053
43,52.536522
44,52.134193
45,52.393742
46,52.867702
47,53.845421
48,58.290295
49,55.041622
average,53.218530
