frame,value
0,36.603733
1,35.593548
2,35.777100
3,34.017376
4,34.806091
5,35.227070
6,33.716991
7,35.190899
8,36.015533
9,33.681973
10,34.663303
11,35.392628
12,33.327244
13,34.321827
14,35.116478
15,34.213451
16,34.513695
17,35.341072
18,33.609276
19,34.267693
20,35.207146
21,33.423286
22,34.635883
23,36.033901
24,36.819477
25,35.666004
26,36.217590
27,34.214767
28,34.625908
29,35.520828
30,33.772831
31,34.973488
32,36.167023
33,33.699883
34,34.535172
35,35.480495
36,33.397434
37,34.219971
38,35.167152
39,34.151054
40,34.543179
41,35.242870
42,33.442173
43,34.176849
44,34.848682
45,33.134251
46,34.699856
47,35.643589
48,36.603668
49,35.787964
average,34.828987
