frame,value
0,29.667458
1,30.192305
2,30.762609
3,28.125559
4,29.739796
5,30.232859
6,27.975618
7,29.882215
8,30.533756
9,27.926353
10,29.650362
11,30.351049
12,27.628485
13,29.264532
14,30.219088
15,28.066317
16,29.384571
17,30.390106
18,27.699881
19,29.116520
20,30.127050
21,27.675142
22,29.227810
23,30.625351
24,30.021938
25,30.454262
26,31.361231
27,28.560492
28,29.533060
29,30.826841
30,28.145445
31,29.565523
32,30.884111
33,28.059757
34,29.280283
35,30.674059
36,27.789463
37,29.302057
38,30.326653
39,28.135641
40,29.465754
41,30.606981
42,27.793510
43,29.118874
44,30.124889
45,27.610899
46,29.477451
47,30.435123
48,29.938442
49,30.528519
average,29.449721
