frame,value
0,53.299831
1,51.668644
2,50.145496
3,49.833130
4,50.308018
5,49.848087
6,49.526585
7,50.569065
8,50.580597
9,49.553963
10,50.345741
11,50.008835
12,49.479687
13,50.207363
14,49.768784
15,50.199863
16,50.385765
17,49.845184
18,49.777355
19,50.210243
20,49.769672
21,49.533909
22,50.410915
23,50.357128
24,53.364090
25,52.178268
26,50.468578
27,50.372406
28,50.614834
29,50.127827
30,49.801701
31,50.650120
32,50.604286
33,49.830811
34,50.482460
35,50.201054
36,49.706440
37,50.358871
38,49.922558
39,50.352482
40,50.529739
41,49.919403
42,49.921505
43,50.376270
44,49.915730
45,49.685295
46,50.511337
47,50.511791
48,53.386353
49,52.141418
average,50.431390
