frame,value
0,29.132502
1,32.809391
2,30.631327
3,28.883736
4,32.702164
5,30.231922
6,28.603745
7,32.709328
8,30.181454
9,28.579290
10,32.724945
11,30.047636
12,28.544247
13,32.610619
14,29.948009
15,28.467468
16,32.639790
17,30.053059
18,28.616844
19,32.587208
20,30.003294
21,28.546270
22,32.560661
23,30.051243
24,29.177437
25,32.734100
26,30.801840
27,29.104300
28,32.703957
29,30.679224
30,28.979979
31,32.471081
32,30.550667
33,28.792116
34,32.280773
35,30.579641
36,28.792980
37,32.308575
38,30.622156
39,28.800793
40,32.450153
41,30.550974
42,28.833410
43,32.409237
44,30.480108
45,28.725010
46,32.190063
47,30.524218
48,29.221792
49,32.767616
average,30.587967
