frame,value
0,58.344330
1,58.309742
2,58.261509
3,53.711613
4,52.802422
5,52.258652
6,52.455940
7,53.193592
8,54.466911
9,52.320415
10,52.741505
11,53.435356
12,52.538925
13,52.221561
14,52.214207
15,54.714851
16,53.204071
17,52.079105
18,53.864922
19,52.836609
20,52.221230
21,52.572178
22,53.186062
23,54.474026
24,58.313370
25,54.372337
26,52.219444
27,53.937687
28,52.847420
29,52.284611
30,52.551064
31,53.244976
32,54.521893
33,52.338261
34,52.693851
35,53.466454
36,52.527534
37,52.246067
38,52.330246
39,54.779110
40,53.136059
41,52.019272
42,53.825195
43,52.788162
44,52.197754
45,52.531487
46,53.136749
47,54.405048
48,58.252552
49,54.312336
average,53.594173
