frame,value
0,46.234367
1,46.884777
2,45.446266
3,44.592422
4,46.361664
5,44.998520
6,44.205151
7,46.226082
8,45.231060
9,44.009537
10,46.144321
11,44.957520
12,43.962337
13,46.041023
14,44.748558
15,44.149246
16,46.015636
17,44.747501
18,44.014679
19,45.945747
20,44.652855
21,43.987247
22,46.110344
23,44.907059
24,46.387211
25,47.113911
26,45.794243
27,45.095627
28,46.652435
29,45.423214
30,44.570618
31,46.545353
32,45.469185
33,44.419312
34,46.356831
35,45.292534
36,44.272579
37,46.114769
38,45.057327
39,44.397381
40,46.069775
41,45.053040
42,44.304707
43,46.005733
44,44.951431
45,44.181679
46,46.130524
47,45.087093
48,46.426342
49,47.173656
average,45.378409
