frame,value
0,68.180679
1,60.429337
2,57.668663
3,60.488071
4,58.794041
5,57.715847
6,57.939758
7,59.624744
8,64.621368
9,57.966061
10,58.824043
11,60.098850
12,57.933102
13,57.755566
14,57.621597
15,64.749260
16,60.109814
17,57.710712
18,60.519623
19,58.782906
20,57.748390
21,57.949341
22,59.719025
23,64.848213
24,67.858513
25,60.466419
26,57.700459
27,60.527172
28,58.856312
29,57.700851
30,58.008144
31,59.656769
32,64.465225
33,57.989578
34,58.805202
35,60.132511
36,58.034443
37,57.773956
38,57.755962
39,65.192436
40,60.101585
41,57.691799
42,60.383793
43,58.914795
44,57.738441
45,58.052776
46,59.800037
47,64.640800
48,67.924385
49,60.470890
average,60.088845
