frame,value
0,68.046371
1,67.821899
2,67.585388
3,60.169914
4,58.542511
5,57.534657
6,57.851578
7,59.236439
8,63.989174
9,57.832447
10,58.293453
11,59.962761
12,57.930195
13,57.525566
14,57.613869
15,63.929249
16,59.885197
17,57.426060
18,60.377949
19,58.661785
20,57.620827
21,57.945171
22,59.294052
23,64.068680
24,68.260612
25,60.356838
26,57.507065
27,60.231567
28,58.706749
29,57.580784
30,57.940174
31,59.291779
32,64.092644
33,57.943920
34,58.353020
35,59.891716
36,58.024242
37,57.528214
38,57.593449
39,63.759041
40,59.952824
41,57.419037
42,60.386715
43,58.677048
44,57.571594
45,57.924797
46,59.338631
47,63.906166
48,68.097870
49,60.391838
average,60.197470
