frame,value
0,49.401005
1,45.734161
2,44.654415
3,44.876869
4,44.483463
5,44.608070
6,44.024906
7,45.353626
8,46.609509
9,44.030724
10,44.552299
11,45.231709
12,43.977222
13,44.102837
14,44.609829
15,46.107231
16,44.841969
17,44.657974
18,44.894672
19,44.358829
20,44.607529
21,44.020565
22,45.198498
23,46.588108
24,49.388958
25,45.797039
26,44.844154
27,44.945389
28,44.567802
29,44.777523
30,44.042961
31,45.333733
32,46.637821
33,44.016804
34,44.664410
35,45.357441
36,43.955383
37,44.074829
38,44.552528
39,46.181591
40,44.826393
41,44.563515
42,44.828896
43,44.357166
44,44.513432
45,43.951958
46,45.201443
47,46.384880
48,49.413845
49,45.805332
average,45.170225
