frame,value
0,38.869717
1,41.092510
2,39.370117
3,38.106895
4,40.834209
5,38.995312
6,37.781933
7,40.587566
8,38.944649
9,37.735199
10,40.708946
11,38.774822
12,37.587536
13,40.626595
14,38.597504
15,37.585152
16,40.497910
17,38.574429
18,37.440342
19,40.474670
20,38.532646
21,37.458496
22,40.456116
23,38.461617
24,38.811718
25,41.179508
26,39.569923
27,38.342560
28,40.791092
29,39.198456
30,38.018456
31,40.691017
32,39.085541
33,37.908012
34,40.639240
35,39.052879
36,37.809948
37,40.536034
38,38.991199
39,37.719707
40,40.493374
41,38.948627
42,37.782093
43,40.432507
44,38.921432
45,37.746853
46,40.317509
47,38.916332
48,38.946693
49,41.221294
average,39.203338
