frame,value
0,67.532005
1,60.128376
2,57.288822
3,59.225231
4,58.135590
5,57.222328
6,57.519516
7,58.889854
8,62.266987
9,57.423100
10,57.974865
11,59.110355
12,57.571213
13,57.314701
14,57.237530
15,62.847549
16,59.334038
17,57.258472
18,59.275330
19,58.194782
20,57.321194
21,57.481140
22,59.067509
23,62.875996
24,67.449417
25,60.036339
26,57.262386
27,59.252743
28,58.070759
29,57.355625
30,57.498405
31,58.818436
32,62.578957
33,57.405029
34,57.987896
35,59.103275
36,57.463200
37,57.260963
38,57.241070
39,62.425430
40,59.267975
41,57.270229
42,59.257813
43,58.128193
44,57.232925
45,57.555561
46,58.915314
47,62.826981
48,67.589226
49,60.062729
average,59.276267
