frame,value
0,24.563848
1,25.930384
2,26.432705
3,23.625429
4,25.511665
5,26.066837
6,23.337503
7,25.697130
8,26.003746
9,23.276522
10,25.274717
11,25.846102
12,22.943281
13,25.037373
14,25.784962
15,23.020613
16,25.275518
17,25.886257
18,23.059811
19,24.900389
20,25.701324
21,22.905422
22,25.025656
23,25.726814
24,24.856808
25,26.071198
26,26.985985
27,23.637274
28,25.353899
29,26.549925
30,23.427044
31,25.114737
32,26.530893
33,23.428713
34,25.133410
35,26.347540
36,23.216976
37,25.102961
38,26.268875
39,23.399956
40,25.355885
41,26.440722
42,23.340792
43,25.226543
44,26.263948
45,23.242525
46,25.571173
47,26.451406
48,25.338919
49,26.743662
average,25.044715
