frame,value
0,35.342762
1,38.169189
2,36.289871
3,34.917850
4,37.961124
5,35.981682
6,34.605362
7,37.748497
8,35.921906
9,34.539841
10,37.883385
11,35.686825
12,34.325642
13,37.727287
14,35.581665
15,34.227768
16,37.621799
17,35.518646
18,34.247940
19,37.612549
20,35.451786
21,34.204235
22,37.499382
23,35.361317
24,35.386116
25,38.304829
26,36.526577
27,35.165043
28,38.125683
29,36.245838
30,34.869556
31,37.857048
32,36.068005
33,34.756210
34,37.914478
35,36.028748
36,34.747326
37,37.839016
38,35.958397
39,34.607540
40,37.847729
41,35.982132
42,34.659836
43,37.703842
44,35.965271
45,34.544388
46,37.553978
47,35.888779
48,35.344349
49,38.178410
average,36.169949
