frame,value
0,27.773100
1,29.772230
2,30.020933
3,26.726366
4,28.479347
5,28.685099
6,26.286963
7,28.858313
8,28.845097
9,26.239975
10,28.516411
11,28.563690
12,25.896914
13,28.230114
14,28.279158
15,26.323330
16,28.281080
17,28.331400
18,26.163645
19,28.306585
20,28.431396
21,26.127014
22,28.899937
23,28.689684
24,28.129576
25,29.665733
26,29.272236
27,27.352285
28,29.777578
29,29.132496
30,27.225111
31,29.816349
32,29.312794
33,27.083755
34,29.433687
35,29.141314
36,26.754732
37,28.807976
38,28.911531
39,26.706932
40,28.524673
41,28.892715
42,26.446350
43,28.502220
44,28.801241
45,26.292980
46,28.817305
47,28.884773
48,27.927647
49,29.045322
average,28.187742
