frame,value
0,40.671696
1,38.751945
2,38.533318
3,37.428928
4,37.844280
5,37.972565
6,36.915752
7,38.241577
8,39.177925
9,36.957993
10,37.662857
11,38.361675
12,36.704891
13,37.336628
14,37.972614
15,37.874775
16,37.627876
17,38.097637
18,37.058338
19,37.300503
20,37.929241
21,36.807697
22,37.785015
23,39.133785
24,40.864586
25,38.843922
26,38.830105
27,37.512177
28,37.671429
29,38.238747
30,37.034191
31,38.100620
32,39.330162
33,36.948166
34,37.620773
35,38.444508
36,36.623558
37,37.155476
38,37.972168
39,37.758434
40,37.621082
41,38.058723
42,36.910408
43,37.208698
44,37.635147
45,36.410835
46,37.822330
47,38.771816
48,40.652870
49,38.863045
average,37.981070
