frame,value
0,49.408352
1,49.454128
2,49.445168
3,44.781845
4,44.708160
5,44.561485
6,43.844543
7,45.492794
8,46.086559
9,43.902534
10,44.867973
11,44.893040
12,43.595547
13,44.212769
14,44.308475
15,45.659084
16,44.778065
17,44.300922
18,44.507271
19,44.416832
20,43.981689
21,43.675816
22,45.239792
23,45.855762
24,49.377174
25,46.193607
26,45.068466
27,44.793549
28,44.868732
29,44.322823
30,43.923649
31,45.717857
32,46.347157
33,44.095356
34,45.219475
35,45.074833
36,43.702080
37,44.431023
38,44.283291
39,45.690937
40,44.872185
41,44.295883
42,44.528889
43,44.374954
44,44.084583
45,43.650936
46,45.212559
47,45.901863
48,49.351692
49,46.213394
average,45.231511
