frame,value
0,26.345793
1,29.969238
2,28.101294
3,26.209692
4,30.005928
5,27.938648
6,26.028200
7,29.816126
8,27.824780
9,25.986391
10,29.937244
11,27.815264
12,25.943876
13,29.846937
14,27.658489
15,25.932426
16,29.853437
17,27.764950
18,25.956787
19,29.854082
20,27.680540
21,25.970095
22,29.867771
23,27.668043
24,26.314947
25,30.016760
26,28.172581
27,26.256474
28,29.967594
29,28.081940
30,26.209486
31,29.709782
32,28.106327
33,26.111872
34,29.668131
35,28.104401
36,26.086512
37,29.729433
38,28.044970
39,26.048639
40,29.769264
41,27.959129
42,26.059326
43,29.805014
44,27.917643
45,26.049166
46,29.746998
47,27.901316
48,26.489023
49,30.174894
average,27.969553
